French,English
partie,part
histoire,history
chercher,search
seulement,only
aide,help
demande,request
mettre,to put
laisse,leash
eux,them
arrivé,come
bébé,baby
pendant,while
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
affaire,case
type,type
leurs,their
corps,body
endroit,place
yeux,eyes
côté,side
pouvoir,power
matin,morning
enfant,child
suite,after
venez,come
devant,in front of
mis,placed
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
arrêter,Stop
dirait,would say
terre,Earth
compte,account
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
filles,girls
jouer,to play
